ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000204311	494513	DFNB59	DFNB59	610219	Q0ZLH3	NA
ENSG00000238082	NA	AC009948.7	NA	NA	NA	NA
ENSG00000270956	NA	RP11-65L3.4	NA	NA	NA	NA
ENSG00000270277	NA	RP11-65L3.2	NA	NA	NA	NA
ENSG00000271011	NA	RP11-171I2.5	NA	NA	NA	NA
ENSG00000270574	NA	RP11-171I2.2	NA	NA	NA	NA
ENSG00000271141	NA	RP11-171I2.4	NA	NA	NA	NA
ENSG00000271401	NA	RP11-171I2.3	NA	NA	NA	NA
ENSG00000234841	NA	RP11-119H12.4	NA	NA	NA	NA
ENSG00000249373	NA	RP11-650J17.2	NA	NA	NA	NA
ENSG00000196656	441502	AC004057.1	NA	NA	NA	NA
ENSG00000239279	NA	RN7SL184P	RN7SL184P	NA	NA	NA
ENSG00000206820	NA	RNU1-138P	RNU1-138P	NA	NA	NA
ENSG00000145349	817	CAMK2D	CAMK2D	607708	Q13557	DB07853:DB08039:DB12010
ENSG00000180801	79642	ARSJ	ARSJ	610010	Q5FYB0	NA
ENSG00000248716	NA	RP11-362M19.1	NA	NA	NA	NA
ENSG00000250215	NA	CIR1P2	CIR1P2	NA	NA	NA
ENSG00000216859	NA	RP11-448N11.1	NA	NA	NA	NA
ENSG00000188107	346007	EYS	EYS	612424	Q5T1H1	NA
ENSG00000219653	NA	GCNT1P4	GCNT1P4	NA	NA	NA
ENSG00000243828	NA	RP11-307F22.2	NA	NA	NA	NA
ENSG00000221312	NA	AL109922.1	NA	NA	NA	NA
ENSG00000256352	NA	AL109922.2	NA	NA	NA	NA
ENSG00000265187	NA	AL109612.1	NA	NA	NA	NA
ENSG00000233859	NA	ADH5P4	ADH5P4	NA	NA	NA
ENSG00000221281	NA	AC002485.1	NA	NA	NA	NA
ENSG00000201015	NA	RNU6-280P	RNU6-280P	NA	NA	NA
ENSG00000206672	NA	Y_RNA	NA	NA	NA	NA
ENSG00000270509	NA	RP11-301G19.2	NA	NA	NA	NA
ENSG00000223504	NA	RP11-542F9.1	NA	NA	NA	NA
ENSG00000226497	101928280	RP11-406O16.1	NA	NA	NA	NA
ENSG00000266675	NA	AL606923.1	NA	NA	NA	NA
ENSG00000233941	NA	RP11-404H14.1	NA	NA	NA	NA
ENSG00000202386	NA	RNA5SP211	RNA5SP211	NA	NA	NA
ENSG00000200314	NA	Y_RNA	NA	NA	NA	NA
ENSG00000112297	202	AIM1	AIM1	601797	Q9Y4K1	NA
ENSG00000252125	NA	RNU6-1299P	RNU6-1299P	NA	NA	NA
ENSG00000164494	57107	PDSS2	PDSS2	610564	Q86YH6	NA
ENSG00000214985	NA	AL591516.5	NA	NA	NA	NA
ENSG00000203384	NA	AL591516.3	NA	NA	NA	NA
ENSG00000203285	NA	AL591516.2	NA	NA	NA	NA
ENSG00000220237	NA	RPS24P12	RPS24P12	NA	NA	NA
ENSG00000203284	NA	AL591516.1	NA	NA	NA	NA
ENSG00000213167	NA	AL591516.4	NA	NA	NA	NA
ENSG00000203281	NA	AL590489.1	NA	NA	NA	NA
ENSG00000025796	11231	SEC63	SEC63	608648	Q9UGP8	NA
ENSG00000238420	NA	RNU6-437P	RNU6-437P	NA	NA	NA
ENSG00000232778	NA	RPL23AP50	RPL23AP50	NA	NA	NA
ENSG00000272476	NA	RP1-191J18.66	NA	NA	NA	NA
ENSG00000224987	NA	RP1-191J18.65	NA	NA	NA	NA
ENSG00000253090	NA	SNORA73	NA	NA	NA	NA
ENSG00000231112	NA	MTHFD2P3	MTHFD2P3	NA	NA	NA
ENSG00000238490	NA	Y_RNA	NA	NA	NA	NA
ENSG00000271608	NA	RP11-697G4.4	NA	NA	NA	NA
ENSG00000228976	NA	SUMO2P8	SUMO2P8	NA	NA	NA
ENSG00000231559	NA	RP3-354J5.3	NA	NA	NA	NA
ENSG00000118690	84071	ARMC2	ARMC2	NA	Q8NEN0	NA
ENSG00000218872	NA	RP11-249L21.2	NA	NA	NA	NA
