Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Testis	12326	66	0.999999999998831	1	ENSG00000234464:ENSG00000233355:ENSG00000230015:ENSG00000182901:ENSG00000054277:ENSG00000203668:ENSG00000174371:ENSG00000174279:ENSG00000229434:ENSG00000272551:ENSG00000163364:ENSG00000227098:ENSG00000128655:ENSG00000155636:ENSG00000223960:ENSG00000204311:ENSG00000238082:ENSG00000188107:ENSG00000243828:ENSG00000223504:ENSG00000226497:ENSG00000272476:ENSG00000118690:ENSG00000080546:ENSG00000183137:ENSG00000185250:ENSG00000135587:ENSG00000156011:ENSG00000253335:ENSG00000270255:ENSG00000254242:ENSG00000061337:ENSG00000130227:ENSG00000240291:ENSG00000241058:ENSG00000234244:ENSG00000204740:ENSG00000272366:ENSG00000077327:ENSG00000240874:ENSG00000128918:ENSG00000259353:ENSG00000259738:ENSG00000225798:ENSG00000157456:ENSG00000171989:ENSG00000140307:ENSG00000259482:ENSG00000261824:ENSG00000267389:ENSG00000266977:ENSG00000267623:ENSG00000267768:ENSG00000266906:ENSG00000267617:ENSG00000267339:ENSG00000267498:ENSG00000267574:ENSG00000105171:ENSG00000267258:ENSG00000105176:ENSG00000267760:ENSG00000267777:ENSG00000267407:ENSG00000261400:ENSG00000267204
DEG.up	Thyroid	5687	17	0.999999999994072	1	ENSG00000155636:ENSG00000223960:ENSG00000204311:ENSG00000271141:ENSG00000271401:ENSG00000164494:ENSG00000025796:ENSG00000185250:ENSG00000135587:ENSG00000104611:ENSG00000147408:ENSG00000104613:ENSG00000240291:ENSG00000241058:ENSG00000137845:ENSG00000173482:ENSG00000267575
DEG.up	Uterus	5544	19	0.999999999702452	1	ENSG00000272551:ENSG00000163364:ENSG00000224577:ENSG00000230552:ENSG00000227098:ENSG00000236501:ENSG00000155636:ENSG00000223960:ENSG00000271401:ENSG00000271730:ENSG00000240291:ENSG00000225527:ENSG00000148450:ENSG00000263155:ENSG00000255529:ENSG00000128918:ENSG00000259732:ENSG00000157483:ENSG00000173482
DEG.up	Vagina	2840	10	0.999989179223981	1	ENSG00000144320:ENSG00000174279:ENSG00000128714:ENSG00000112297:ENSG00000135587:ENSG00000104611:ENSG00000263155:ENSG00000128918:ENSG00000140297:ENSG00000240163
DEG.down	Adipose_Tissue	1587	2	0.999998582075436	1	ENSG00000156011:ENSG00000157456
DEG.down	Adrenal_Gland	3472	15	0.999974577157699	1	ENSG00000225554:ENSG00000203668:ENSG00000144320:ENSG00000145349:ENSG00000180801:ENSG00000271730:ENSG00000135596:ENSG00000175445:ENSG00000061337:ENSG00000103569:ENSG00000259250:ENSG00000137845:ENSG00000128923:ENSG00000157456:ENSG00000157483
DEG.down	Bladder	104	1	0.648409135248679	1	ENSG00000079156
DEG.down	Blood	6184	26	0.999999994166233	1	ENSG00000091483:ENSG00000203668:ENSG00000154518:ENSG00000144320:ENSG00000155636:ENSG00000180228:ENSG00000204311:ENSG00000145349:ENSG00000164494:ENSG00000025796:ENSG00000080546:ENSG00000183137:ENSG00000104613:ENSG00000240291:ENSG00000241058:ENSG00000120594:ENSG00000148444:ENSG00000168283:ENSG00000148450:ENSG00000263155:ENSG00000255529:ENSG00000128923:ENSG00000137776:ENSG00000157483:ENSG00000169021:ENSG00000105176
DEG.down	Blood_Vessel	1708	9	0.989752418152055	1	ENSG00000163364:ENSG00000112297:ENSG00000135587:ENSG00000156011:ENSG00000104611:ENSG00000061337:ENSG00000263155:ENSG00000103569:ENSG00000157456
DEG.down	Brain	5503	14	0.999999999999644	1	ENSG00000203668:ENSG00000235655:ENSG00000223960:ENSG00000180801:ENSG00000164494:ENSG00000025796:ENSG00000183137:ENSG00000135587:ENSG00000165997:ENSG00000120594:ENSG00000263155:ENSG00000157483:ENSG00000182718:ENSG00000173482
DEG.down	Breast	1001	4	0.990712723411051	1	ENSG00000079156:ENSG00000156011:ENSG00000103569:ENSG00000157456
DEG.down	Cervix_Uteri	47	1	0.376215341688206	1	ENSG00000079156
DEG.down	Colon	1378	7	0.985567885468967	1	ENSG00000128656:ENSG00000156011:ENSG00000147408:ENSG00000061337:ENSG00000120594:ENSG00000128918:ENSG00000103569
DEG.down	Esophagus	1671	4	0.999963849321497	1	ENSG00000163364:ENSG00000079156:ENSG00000156011:ENSG00000103569
DEG.down	Fallopian_Tube	1	0	1	1	
