# MEAN_SAMPLE_SIZE = 54884
# TOTAL_GENES = 12076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Muscle.B_cell                       COVAR   12076   -0.0042816  -0.00072364     0.089487      0.51908 Muscle.B_cell
Muscle.mesenchymal_stem_cell        COVAR   12076     0.021216    0.0069098     0.042517      0.30889 Muscle.mesenchymal_stem_cell
Muscle.macrophage                   COVAR   12076    0.0085356    0.0025647     0.067719      0.44985 Muscle.macrophage
Muscle.chondroblast                 COVAR   12076     0.031258     0.011192     0.037249       0.2007 Muscle.chondroblast
Muscle.skeletal_muscle_satel...     COVAR   12076     0.082567     0.021362     0.056581     0.072261 Muscle.skeletal_muscle_satellite_cell
Spleen.B_cell                       COVAR   12076    0.0071286    0.0014016     0.075745      0.46251 Spleen.B_cell
Spleen.T_cell                       COVAR   12076    -0.058793    -0.011783     0.077886      0.77483 Spleen.T_cell
Spleen.macrophage                   COVAR   12076     0.038868    0.0095392     0.074419      0.30074 Spleen.macrophage
Spleen.dendritic_cell               COVAR   12076    -0.020981   -0.0068996      0.05243      0.65548 Spleen.dendritic_cell
Thymus.T_cell                       COVAR   12076    -0.040374    -0.014353     0.039432      0.84704 Thymus.T_cell
Thymus.stromal_cell                 COVAR   12076    -0.046212    -0.014886     0.051964      0.81307 Thymus.stromal_cell
Tongue.basal_cell_of_epiderm...     COVAR   12076     0.013444    0.0066042     0.034005      0.34629 Tongue.basal_cell_of_epidermis
Tongue.keratinocyte                 COVAR   12076    -0.013431    -0.008239     0.023493      0.71624 Tongue.keratinocyte
Tongue.unknown                      COVAR   12076    0.0061865     0.002577     0.038298      0.43584 Tongue.unknown
Trachea.stromal_cell                COVAR   12076     0.083282     0.018508     0.065814      0.10288 Trachea.stromal_cell
Trachea.epithelial_cell             COVAR   12076     0.067662     0.021657     0.055978       0.1134 Trachea.epithelial_cell
Trachea.leukocyte                   COVAR   12076    -0.040962   -0.0099439     0.076554      0.70369 Trachea.leukocyte
Trachea.neuroendocrine_cell         COVAR   12076     -0.11804    -0.019576      0.11977      0.83781 Trachea.neuroendocrine_cell
Trachea.endothelial_cell            COVAR   12076    0.0016147   0.00031816     0.078106      0.49175 Trachea.endothelial_cell
Trachea.basal_cell_of_epithe...     COVAR   12076     0.077212       0.0254     0.053523      0.07458 Trachea.basal_cell_of_epithelium_of_trachea
Trachea.ciliated_epithelial_...     COVAR   12076    -0.004731   -0.0015677     0.038276      0.54918 Trachea.ciliated_epithelial_cell
