# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Mammary_Gland_Lactation.Secr...5      COVAR   12577     -0.13128   -0.0078901      0.24364      0.70499 Mammary_Gland_Lactation.Secretory_alveoli_cell_Bckdha_high
Mammary_Gland_Lactation.Secr...6      COVAR   12577      0.03227    0.0022657      0.21522      0.44041 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ccng1_high
Mammary_Gland_Lactation.Secr...7      COVAR   12577      0.34068      0.02245      0.17081     0.023058 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cd63_high
Mammary_Gland_Lactation.Secr...8      COVAR   12577    -0.050422   -0.0034483      0.15149      0.63037 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cd83_high
Mammary_Gland_Lactation.Secr...9      COVAR   12577      -0.1405   -0.0091696      0.20562      0.75279 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cfd_high
Mammary_Gland_Lactation.Secr...10     COVAR   12577     -0.24118     -0.01497      0.24042       0.8421 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cgrrf1_high
Mammary_Gland_Lactation.Secr...11     COVAR   12577    -0.083687   -0.0056636      0.14351       0.7201 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cide.Wfdc3.Wap_high
Mammary_Gland_Lactation.Secr...13     COVAR   12577      -0.1968    -0.011187      0.21097      0.82454 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cidea_high
Mammary_Gland_Lactation.Secr...12     COVAR   12577       0.1482    0.0093281      0.14924      0.16036 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cidea.Elovl5_high
Mammary_Gland_Lactation.Secr...14     COVAR   12577     -0.20892    -0.015577      0.13185      0.94345 Mammary_Gland_Lactation.Secretory_alveoli_cell_Clu_high
Mammary_Gland_Lactation.Secr...15     COVAR   12577    -0.063413    -0.003882       0.1746      0.64176 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cnp_high
Mammary_Gland_Lactation.Secr...16     COVAR   12577    -0.075365   -0.0057219      0.11137       0.7507 Mammary_Gland_Lactation.Secretory_alveoli_cell_Crip1_high
Mammary_Gland_Lactation.Secr...17     COVAR   12577   -0.0018712  -0.00014089      0.12739      0.50586 Mammary_Gland_Lactation.Secretory_alveoli_cell_Cyb561_high
Mammary_Gland_Lactation.Secr...18     COVAR   12577     -0.23023    -0.014999      0.21273      0.86042 Mammary_Gland_Lactation.Secretory_alveoli_cell_Dnajb1_high
Mammary_Gland_Lactation.Secr...19     COVAR   12577      0.17515     0.012112      0.17865      0.16346 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ehf_high
Mammary_Gland_Lactation.Secr...20     COVAR   12577     0.025775    0.0022168      0.10868      0.40626 Mammary_Gland_Lactation.Secretory_alveoli_cell_Fcer1g_high
Mammary_Gland_Lactation.Secr...23     COVAR   12577     -0.24067    -0.015544      0.15257      0.94264 Mammary_Gland_Lactation.Secretory_alveoli_cell_Fth1_high
Mammary_Gland_Lactation.Secr...21     COVAR   12577     -0.10918    -0.011931     0.076324       0.9237 Mammary_Gland_Lactation.Secretory_alveoli_cell_Fth1.Cib1_high
Mammary_Gland_Lactation.Secr...22     COVAR   12577      0.19599      0.01441      0.14174      0.08339 Mammary_Gland_Lactation.Secretory_alveoli_cell_Fth1.Wfdc3_high
Mammary_Gland_Lactation.Secr...24     COVAR   12577     0.064066    0.0038585      0.22329      0.38709 Mammary_Gland_Lactation.Secretory_alveoli_cell_Gadd45b_high
Mammary_Gland_Lactation.Secr...25     COVAR   12577     0.021227    0.0013148      0.18878      0.45524 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ggnbp2_high
Mammary_Gland_Lactation.Secr...26     COVAR   12577    0.0073257   0.00043963      0.23359      0.48749 Mammary_Gland_Lactation.Secretory_alveoli_cell_Gm1673_high
Mammary_Gland_Lactation.Secr...27     COVAR   12577    -0.063379   -0.0036913      0.22112       0.6128 Mammary_Gland_Lactation.Secretory_alveoli_cell_Gpx3_high
Mammary_Gland_Lactation.Secr...28     COVAR   12577      -0.2258    -0.013489      0.23636      0.83029 Mammary_Gland_Lactation.Secretory_alveoli_cell_Hes1_high
Mammary_Gland_Lactation.Secr...29     COVAR   12577     -0.23264    -0.014972      0.19623      0.88209 Mammary_Gland_Lactation.Secretory_alveoli_cell_Hsp90aa1_high
Mammary_Gland_Lactation.Secr...30     COVAR   12577      0.27542     0.016481      0.22542       0.1109 Mammary_Gland_Lactation.Secretory_alveoli_cell_Hspa1a_high
Mammary_Gland_Lactation.Secr...31     COVAR   12577     -0.15453    -0.014285      0.11123      0.91761 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ifi27l2a_high
Mammary_Gland_Lactation.Secr...32     COVAR   12577     -0.15335   -0.0097823       0.2137      0.76349 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ifi35_high
Mammary_Gland_Lactation.Secr...33     COVAR   12577    -0.058778   -0.0040523      0.16602      0.63834 Mammary_Gland_Lactation.Secretory_alveoli_cell_Igfbp7_high
Mammary_Gland_Lactation.Secr...34     COVAR   12577     -0.12234   -0.0072982      0.22309      0.70828 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ighm1_high
Mammary_Gland_Lactation.Secr...36     COVAR   12577     -0.31348    -0.021371      0.14718       0.9834 Mammary_Gland_Lactation.Secretory_alveoli_cell_Igkv1.110_high
Mammary_Gland_Lactation.Secr...35     COVAR   12577       0.0283    0.0018392      0.15997      0.42979 Mammary_Gland_Lactation.Secretory_alveoli_cell_Igkv1.110.P4hb_high
Mammary_Gland_Lactation.Secr...37     COVAR   12577      0.47783     0.030664      0.16244    0.0016361 Mammary_Gland_Lactation.Secretory_alveoli_cell_Igkv1.117_high
Mammary_Gland_Lactation.Secr...38     COVAR   12577     0.070247    0.0044849      0.18291      0.35047 Mammary_Gland_Lactation.Secretory_alveoli_cell_Iglc1_high
Mammary_Gland_Lactation.Secr...39     COVAR   12577     -0.17634    -0.011397      0.18284      0.83259 Mammary_Gland_Lactation.Secretory_alveoli_cell_Igsf8_high
Mammary_Gland_Lactation.Secr...40     COVAR   12577     0.022355    0.0013757      0.22419      0.46029 Mammary_Gland_Lactation.Secretory_alveoli_cell_Kif5b_high
Mammary_Gland_Lactation.Secr...41     COVAR   12577      0.13105    0.0077543       0.2018      0.25804 Mammary_Gland_Lactation.Secretory_alveoli_cell_Klf2_high
Mammary_Gland_Lactation.Secr...42     COVAR   12577    -0.079265   -0.0048035      0.23443      0.63236 Mammary_Gland_Lactation.Secretory_alveoli_cell_Klf6_high
Mammary_Gland_Lactation.Secr...43     COVAR   12577     -0.11691   -0.0076784      0.15042      0.78148 Mammary_Gland_Lactation.Secretory_alveoli_cell_Lgals1_high
Mammary_Gland_Lactation.Secr...44     COVAR   12577   -0.0048256  -0.00033396      0.15363      0.51253 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ly6a_high
Mammary_Gland_Lactation.Secr...45     COVAR   12577    -0.012325  -0.00087078      0.18316      0.52682 Mammary_Gland_Lactation.Secretory_alveoli_cell_Lyz2_high
Mammary_Gland_Lactation.Secr...46     COVAR   12577     0.024059    0.0015003      0.19052      0.44976 Mammary_Gland_Lactation.Secretory_alveoli_cell_Malat1_high
Mammary_Gland_Lactation.Secr...47     COVAR   12577    -0.043912   -0.0026371      0.19376      0.58964 Mammary_Gland_Lactation.Secretory_alveoli_cell_Mat2a_high
Mammary_Gland_Lactation.Secr...48     COVAR   12577    -0.055884   -0.0033095      0.19693       0.6117 Mammary_Gland_Lactation.Secretory_alveoli_cell_Mrpl15_high
Mammary_Gland_Lactation.Secr...73     COVAR   12577    -0.049371   -0.0028807      0.24374      0.58026 Mammary_Gland_Lactation.Secretory_alveoli_cell_mt.Tp_high
Mammary_Gland_Lactation.Secr...49     COVAR   12577     0.027577    0.0017784       0.1582      0.43081 Mammary_Gland_Lactation.Secretory_alveoli_cell_Naxd_high
Mammary_Gland_Lactation.Secr...50     COVAR   12577    -0.060043    -0.003632      0.23108       0.6025 Mammary_Gland_Lactation.Secretory_alveoli_cell_Pa2g4_high
Mammary_Gland_Lactation.Secr...51     COVAR   12577     -0.16061    -0.011478      0.15209       0.8545 Mammary_Gland_Lactation.Secretory_alveoli_cell_Prkcsh_high
Mammary_Gland_Lactation.Secr...52     COVAR   12577     -0.15312   -0.0097307      0.20655      0.77074 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ptpn18_high
Mammary_Gland_Lactation.Secr...53     COVAR   12577     -0.18715    -0.011632       0.1728      0.86058 Mammary_Gland_Lactation.Secretory_alveoli_cell_Rac2_high
Mammary_Gland_Lactation.Secr...54     COVAR   12577    -0.083714     -0.00529      0.17531       0.6835 Mammary_Gland_Lactation.Secretory_alveoli_cell_Retnla_high
Mammary_Gland_Lactation.Secr...55     COVAR   12577     -0.01086  -0.00073352      0.15774      0.52744 Mammary_Gland_Lactation.Secretory_alveoli_cell_Rgs2_high_Rora_high
Mammary_Gland_Lactation.Secr...56     COVAR   12577      0.17073     0.011097       0.1608      0.14419 Mammary_Gland_Lactation.Secretory_alveoli_cell_Rhob_high
Mammary_Gland_Lactation.Secr...57     COVAR   12577    -0.071201   -0.0048906      0.13842       0.6965 Mammary_Gland_Lactation.Secretory_alveoli_cell_S100a11_high
Mammary_Gland_Lactation.Secr...58     COVAR   12577     -0.12447   -0.0083408        0.179      0.75658 Mammary_Gland_Lactation.Secretory_alveoli_cell_Sars_high
Mammary_Gland_Lactation.Secr...59     COVAR   12577     -0.34508    -0.022007      0.17775      0.97388 Mammary_Gland_Lactation.Secretory_alveoli_cell_Sh3bgrl3_high
Mammary_Gland_Lactation.Secr...60     COVAR   12577    -0.082519   -0.0054322       0.2018      0.65869 Mammary_Gland_Lactation.Secretory_alveoli_cell_Snord118_high
Mammary_Gland_Lactation.Secr...61     COVAR   12577    -0.046646   -0.0028413      0.24057      0.57687 Mammary_Gland_Lactation.Secretory_alveoli_cell_Spp1_high
Mammary_Gland_Lactation.Secr...62     COVAR   12577     -0.17262    -0.010703      0.21811      0.78565 Mammary_Gland_Lactation.Secretory_alveoli_cell_Srsf11_high
Mammary_Gland_Lactation.Secr...63     COVAR   12577       0.2076     0.015921      0.13999     0.069053 Mammary_Gland_Lactation.Secretory_alveoli_cell_Taf1d_high
Mammary_Gland_Lactation.Secr...64     COVAR   12577      -0.0202   -0.0012913      0.14691      0.55468 Mammary_Gland_Lactation.Secretory_alveoli_cell_Thy1_high
Mammary_Gland_Lactation.Secr...65     COVAR   12577     -0.13138   -0.0088593      0.14973      0.80988 Mammary_Gland_Lactation.Secretory_alveoli_cell_Tmem123_high
Mammary_Gland_Lactation.Secr...66     COVAR   12577     -0.14581   -0.0087401      0.18099      0.78976 Mammary_Gland_Lactation.Secretory_alveoli_cell_Tmsb10_high
Mammary_Gland_Lactation.Secr...67     COVAR   12577    -0.052855   -0.0036771      0.17174      0.62087 Mammary_Gland_Lactation.Secretory_alveoli_cell_Tubb5_high
Mammary_Gland_Lactation.Secr...68     COVAR   12577      0.12423    0.0076025      0.18906      0.25558 Mammary_Gland_Lactation.Secretory_alveoli_cell_Tyrobp_high
Mammary_Gland_Lactation.Secr...69     COVAR   12577      0.13446    0.0089218      0.19317      0.24319 Mammary_Gland_Lactation.Secretory_alveoli_cell_Ube2e3_high
Mammary_Gland_Lactation.Secr...70     COVAR   12577    -0.089098   -0.0050987       0.2468      0.64095 Mammary_Gland_Lactation.Secretory_alveoli_cell_Wfdc17_high
Mammary_Gland_Lactation.Secr...71     COVAR   12577    -0.037642   -0.0031303      0.10067      0.64576 Mammary_Gland_Lactation.Secretory_alveoli_cell_Wfdc3.Wap_high
Mammary_Gland_Lactation.Secr...72     COVAR   12577     -0.16647    -0.010437      0.22068      0.77467 Mammary_Gland_Lactation.Secretory_alveoli_cell_Yif1b1_high
Mammary_Gland_Lactation.Stro...       COVAR   12577     0.068293    0.0031216      0.30161      0.41044 Mammary_Gland_Lactation.Stromal_cell
Mammary_Gland_Lactation.T_ce...       COVAR   12577    -0.025434   -0.0014839      0.26202      0.53866 Mammary_Gland_Lactation.T_cell
Mammary_Gland_Pregnancy.B_ce...1      COVAR   12577     0.016551    0.0031368     0.045498      0.35802 Mammary_Gland_Pregnancy.B_cell_Jchain_high
