# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Neonatal_Muscle.Glial_cell           COVAR   12577    -0.034278   -0.0035769      0.12756      0.60592 Neonatal_Muscle.Glial_cell
Neonatal_Muscle.Macrophage_L...      COVAR   12577     0.087706    0.0088229      0.14604      0.27408 Neonatal_Muscle.Macrophage_Lyz2_high
Neonatal_Muscle.Macrophage_P...      COVAR   12577     0.063896    0.0068334      0.12986      0.31135 Neonatal_Muscle.Macrophage_Pf4_high
Neonatal_Muscle.Mast_cell            COVAR   12577    -0.027522   -0.0030159      0.11432      0.59512 Neonatal_Muscle.Mast_cell
Neonatal_Muscle.Mesenchymal_...      COVAR   12577     0.064611    0.0058761      0.19511      0.37027 Neonatal_Muscle.Mesenchymal_cell
Neonatal_Muscle.Muscle_cell_...1     COVAR   12577    -0.044918   -0.0046814      0.13473      0.63058 Neonatal_Muscle.Muscle_cell_Actc1_high
Neonatal_Muscle.Muscle_cell_...2     COVAR   12577     -0.38598    -0.039437      0.16446      0.99053 Neonatal_Muscle.Muscle_cell_Myl9_high
Neonatal_Muscle.Neuron               COVAR   12577  -0.00066704  -6.8108e-05      0.14514      0.50183 Neonatal_Muscle.Neuron
Neonatal_Muscle.Neutrophil_E...      COVAR   12577    -0.066386    -0.010457     0.087137      0.77692 Neonatal_Muscle.Neutrophil_Elane_high
Neonatal_Muscle.Neutrophil_H...      COVAR   12577      0.06068    0.0073963     0.082427      0.23082 Neonatal_Muscle.Neutrophil_Hmox1_high
Neonatal_Muscle.Neutrophil_S...      COVAR   12577     0.035813     0.003223      0.15519      0.40875 Neonatal_Muscle.Neutrophil_Stfa3_high
Neonatal_Muscle.Skeletal_mus...1     COVAR   12577    -0.015026   -0.0016072      0.14089      0.54247 Neonatal_Muscle.Skeletal_muscle_cell_Myl1_high
