# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Fetal_Brain.Radial_glia_Fabp...      COVAR   12577     -0.11565    -0.011101      0.17626      0.74412 Fetal_Brain.Radial_glia_Fabp7_high
Fetal_Brain.Radial_glia_Vim_...      COVAR   12577     -0.40121    -0.035432      0.21439      0.96934 Fetal_Brain.Radial_glia_Vim_high
Fetal_Brain.Schwann_cell             COVAR   12577     -0.17977    -0.016138      0.15843      0.87174 Fetal_Brain.Schwann_cell
Fetal_Brain.Stromal_cell             COVAR   12577     -0.13845    -0.014268      0.16702      0.79642 Fetal_Brain.Stromal_cell
Fetal_Intestine.Acinar_cell          COVAR   12577      0.17685     0.027187      0.11812     0.067185 Fetal_Intestine.Acinar_cell
Fetal_Intestine.Endothelial_...      COVAR   12577    -0.034681    -0.003832      0.12419      0.60998 Fetal_Intestine.Endothelial_cell
Fetal_Intestine.Enteric_musc...      COVAR   12577     -0.17011    -0.016615       0.2023      0.79978 Fetal_Intestine.Enteric_muscle_cell
Fetal_Intestine.Enterocyte_p...1     COVAR   12577     -0.38483    -0.036231      0.25923      0.93115 Fetal_Intestine.Enterocyte_progenitor
Fetal_Intestine.Enterocyte_p...2     COVAR   12577    -0.077696   -0.0079746      0.17261      0.67368 Fetal_Intestine.Enterocyte_progenitor_late_Ccnb1_high
Fetal_Intestine.Enterocyte_p...3     COVAR   12577     -0.25524    -0.028068      0.19448       0.9053 Fetal_Intestine.Enterocyte_progenitor_late_Ube2c_high
Fetal_Intestine.Enteroendocr...      COVAR   12577      -0.1303    -0.014804      0.10758      0.88707 Fetal_Intestine.Enteroendocrine
Fetal_Intestine.Epithelial_c...1     COVAR   12577       0.3845     0.044129      0.18498     0.018836 Fetal_Intestine.Epithelial_cell_Bex1_high
Fetal_Intestine.Epithelial_c...2     COVAR   12577      0.25089     0.030132      0.17884     0.080341 Fetal_Intestine.Epithelial_cell_Lgals2_high
Fetal_Intestine.Erythroblast...1     COVAR   12577      0.11597     0.016934     0.087342     0.092143 Fetal_Intestine.Erythroblast_Car2_high
Fetal_Intestine.Erythroblast...2     COVAR   12577    -0.065778    -0.007154      0.19294      0.63342 Fetal_Intestine.Erythroblast_Hbb.bs_high
Fetal_Intestine.Erythroblast...3     COVAR   12577    -0.092336    -0.010727      0.15559      0.72356 Fetal_Intestine.Erythroblast_Hbb.y_high
Fetal_Intestine.Macrophage_L...      COVAR   12577      0.21466     0.024865      0.17249      0.10668 Fetal_Intestine.Macrophage_Lyz2_high
Fetal_Intestine.Macrophage_P...      COVAR   12577      0.18248      0.01943      0.16862      0.13959 Fetal_Intestine.Macrophage_Pf4_high
Fetal_Intestine.Neuronal_cel...      COVAR   12577     -0.26822     -0.02847      0.21633      0.89247 Fetal_Intestine.Neuronal_cell_Fabp7_high
Fetal_Intestine.Neuronal_Cel...      COVAR   12577      -0.3671    -0.040672      0.16045      0.98892 Fetal_Intestine.Neuronal_Cells_Rtn1_high
Fetal_Intestine.Stromal_cell...1     COVAR   12577     -0.16686    -0.016097      0.24712      0.75022 Fetal_Intestine.Stromal_cell_Adamdec1_high
Fetal_Intestine.Stromal_cell...2     COVAR   12577     -0.31563    -0.032042       0.2049      0.93826 Fetal_Intestine.Stromal_cell_Stmn2_high_
Fetal_Intestine.Stromal_cell...3     COVAR   12577     0.095063    0.0087481      0.20224      0.31916 Fetal_Intestine.Stromal_cell_Upk3b_high
Fetal_Intestine.T_cell               COVAR   12577     -0.11846    -0.014376         0.16      0.77046 Fetal_Intestine.T_cell
Fetal_Kidney.Stromal_cell_Mg...      COVAR   12577     0.043793    0.0098945     0.036495      0.11509 Fetal_Kidney.Stromal_cell_Mgp_high
Fetal_Liver.B_cell                   COVAR   12577     0.020421    0.0032167      0.08808      0.40833 Fetal_Liver.B_cell
Fetal_Liver.Dendritic_cell           COVAR   12577      0.15461     0.020281      0.14338      0.14046 Fetal_Liver.Dendritic_cell
Fetal_Liver.Erythroblast_Hba...      COVAR   12577     0.086487     0.010173      0.10535      0.20585 Fetal_Liver.Erythroblast_Hba.a2_high
Fetal_Liver.Erythroblast_Klf...      COVAR   12577     0.064203    0.0092383      0.11671      0.29112 Fetal_Liver.Erythroblast_Klf1_high
Fetal_Liver.Hepatocyte_Afp_h...      COVAR   12577     0.044209    0.0058298     0.097924      0.32583 Fetal_Liver.Hepatocyte_Afp_high
Fetal_Liver.Macrophage               COVAR   12577     0.079979     0.010751      0.10849       0.2305 Fetal_Liver.Macrophage
