# MEAN_SAMPLE_SIZE = 54885
# TOTAL_GENES = 12856
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                   TYPE  NGENES         BETA     BETA_STD           SE            P
SN.Endothelial_tip        COVAR   12856    0.0037639    0.0093985    0.0054387      0.24446
SN.Polydendrocyte         COVAR   12856     0.015371     0.040387    0.0077871     0.024206
SN.Astrocyte              COVAR   12856    0.0027935    0.0070469    0.0064215      0.33178
SN.Ependymal              COVAR   12856    0.0012033    0.0037419    0.0034119      0.36216
SN.Macrophage             COVAR   12856    0.0021984    0.0063155    0.0047146      0.32051
SN.Microglia              COVAR   12856  -0.00043971   -0.0013606    0.0032289      0.55416
TH.Neuron                 COVAR   12856    0.0024878     0.006467    0.0060393       0.3402
TH.Ependymal              COVAR   12856   0.00086227    0.0022631    0.0052609      0.43491
TH.Astrocyte              COVAR   12856       0.0105     0.027115    0.0066494     0.057164
TH.Polydendrocyte         COVAR   12856       0.0105     0.028048     0.007679     0.085769
TH.Endothelial_stalk      COVAR   12856   -0.0050053      -0.0134    0.0062254       0.7893
TH.Mural                  COVAR   12856   -0.0045481    -0.011918    0.0069653       0.7431
TH.Endothelial_tip        COVAR   12856     0.003807     0.010299    0.0057495      0.25395
TH.Macrophage             COVAR   12856   -0.0035602    -0.010253    0.0045297      0.78405
TH.Microglia              COVAR   12856    0.0014781    0.0041426    0.0050985      0.38595
TH.Oligodendrocyte        COVAR   12856    0.0074646     0.018968    0.0079941      0.17522
