# MEAN_SAMPLE_SIZE = 54884
# TOTAL_GENES = 12076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Limb_Muscle.macrophage               COVAR   12076    0.0048005    0.0077466     0.010318      0.32087 Limb_Muscle.macrophage
Limb_Muscle.mesenchymal_stem...      COVAR   12076    0.0088257     0.015811    0.0075829      0.12225 Limb_Muscle.mesenchymal_stem_cell
Limb_Muscle.skeletal_muscle_...      COVAR   12076        0.024     0.036559    0.0092124    0.0045971 Limb_Muscle.skeletal_muscle_satellite_cell
Limb_Muscle.T_cell                   COVAR   12076   -0.0089309    -0.013603     0.010286      0.80736 Limb_Muscle.T_cell
Liver.B_cell                         COVAR   12076    0.0021817    0.0028393     0.012069      0.42828 Liver.B_cell
Liver.endothelial_cell_of_he...      COVAR   12076   -0.0043987   -0.0066961    0.0081825      0.70456 Liver.endothelial_cell_of_hepatic_sinusoid
Liver.hepatocyte                     COVAR   12076    0.0011903     0.002209     0.005613      0.41603 Liver.hepatocyte
Liver.Kupffer_cell                   COVAR   12076    0.0055084    0.0068988     0.010377      0.29777 Liver.Kupffer_cell
Liver.natural_killer_cell            COVAR   12076   -0.0046593   -0.0074502     0.010256      0.67519 Liver.natural_killer_cell
Lung.B_cell                          COVAR   12076   -0.0056049   -0.0069486     0.011993      0.67987 Lung.B_cell
Lung.ciliated_columnar_cell_...      COVAR   12076    0.0014963    0.0030184    0.0054051      0.39096 Lung.ciliated_columnar_cell_of_tracheobronchial_tree
Lung.classical_monocyte              COVAR   12076   -0.0012605   -0.0022544    0.0090211      0.55556 Lung.classical_monocyte
Lung.epithelial_cell_of_lung         COVAR   12076   -0.0026912    -0.004487    0.0087651      0.62059 Lung.epithelial_cell_of_lung
