Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	18_yrs	2710	9	0.973463332025175	1	ENSG00000185630:ENSG00000143179:ENSG00000188859:ENSG00000215835:ENSG00000213763:ENSG00000085365:ENSG00000113273:ENSG00000168283:ENSG00000185875
DEG.down	19_yrs	1389	5	0.893772102158579	1	ENSG00000213070:ENSG00000185630:ENSG00000206990:ENSG00000230175:ENSG00000148444
DEG.down	21_yrs	1602	3	0.994861613717464	1	ENSG00000213070:ENSG00000215835:ENSG00000148444
DEG.down	23_yrs	1227	4	0.91675701446715	1	ENSG00000213070:ENSG00000185630:ENSG00000230175:ENSG00000148444
DEG.down	30_yrs	2087	9	0.834586080238534	1	ENSG00000213070:ENSG00000185630:ENSG00000206990:ENSG00000230175:ENSG00000143183:ENSG00000085365:ENSG00000148444:ENSG00000168283:ENSG00000185875
DEG.down	36_yrs	1636	4	0.984021806698107	1	ENSG00000213070:ENSG00000185630:ENSG00000230175:ENSG00000148444
DEG.down	37_yrs	919	4	0.759118359092489	1	ENSG00000213070:ENSG00000185630:ENSG00000230175:ENSG00000215835
DEG.down	40_yrs	1171	3	0.962244409360959	1	ENSG00000213070:ENSG00000143179:ENSG00000113273
DEG.twoside	8_pcw	4970	13	0.999841464614763	1	ENSG00000143248:ENSG00000232995:ENSG00000143228:ENSG00000213070:ENSG00000143198:ENSG00000230175:ENSG00000143179:ENSG00000215835:ENSG00000145703:ENSG00000181104:ENSG00000113231:ENSG00000251400:ENSG00000168283
DEG.twoside	9_pcw	4386	13	0.998281827773447	1	ENSG00000143248:ENSG00000232995:ENSG00000143228:ENSG00000213070:ENSG00000143198:ENSG00000143179:ENSG00000215835:ENSG00000145703:ENSG00000181104:ENSG00000113231:ENSG00000132842:ENSG00000113273:ENSG00000165312
DEG.twoside	12_pcw	4671	14	0.998623825590189	1	ENSG00000143248:ENSG00000213070:ENSG00000185630:ENSG00000143198:ENSG00000206990:ENSG00000230175:ENSG00000181104:ENSG00000113231:ENSG00000251400:ENSG00000085365:ENSG00000148444:ENSG00000168283:ENSG00000148450:ENSG00000185875
DEG.twoside	13_pcw	4064	9	0.999886583798932	1	ENSG00000143248:ENSG00000213070:ENSG00000185630:ENSG00000206990:ENSG00000230175:ENSG00000215835:ENSG00000181104:ENSG00000113231:ENSG00000148450
DEG.twoside	16_pcw	2716	7	0.995562728267369	1	ENSG00000143248:ENSG00000213070:ENSG00000185630:ENSG00000143157:ENSG00000181104:ENSG00000113231:ENSG00000148450
DEG.twoside	17_pcw	1445	5	0.912212641722151	1	ENSG00000143248:ENSG00000213070:ENSG00000188859:ENSG00000215835:ENSG00000113231
DEG.twoside	19_pcw	1655	3	0.996031868584942	1	ENSG00000143248:ENSG00000113231:ENSG00000085365
DEG.twoside	21_pcw	1513	4	0.973121774058185	1	ENSG00000143248:ENSG00000213070:ENSG00000188859:ENSG00000215835
DEG.twoside	24_pcw	1392	5	0.894837662484067	1	ENSG00000143248:ENSG00000181104:ENSG00000113231:ENSG00000113273:ENSG00000148450
DEG.twoside	26_pcw	42	0	1	1	
DEG.twoside	37_pcw	3381	3	0.999999707178313	1	ENSG00000143248:ENSG00000168283:ENSG00000185875
DEG.twoside	4_mos	1073	4	0.855063330154998	1	ENSG00000143248:ENSG00000232995:ENSG00000185630:ENSG00000151023
DEG.twoside	10_mos	853	3	0.85956121813227	1	ENSG00000143179:ENSG00000143157:ENSG00000250615
DEG.twoside	1_yrs	2254	6	0.98956321605711	1	ENSG00000254706:ENSG00000232995:ENSG00000230175:ENSG00000143195:ENSG00000181104:ENSG00000148444
DEG.twoside	2_yrs	5513	12	0.99999599134014	1	ENSG00000213070:ENSG00000185630:ENSG00000143179:ENSG00000215835:ENSG00000143157:ENSG00000164252:ENSG00000164253:ENSG00000213763:ENSG00000085365:ENSG00000168283:ENSG00000165312:ENSG00000185875
DEG.twoside	3_yrs	4484	15	0.993999999840635	1	ENSG00000254706:ENSG00000143248:ENSG00000232995:ENSG00000213070:ENSG00000185630:ENSG00000143149:ENSG00000206990:ENSG00000143179:ENSG00000188859:ENSG00000251400:ENSG00000085365:ENSG00000148444:ENSG00000168283:ENSG00000148450:ENSG00000151023
DEG.twoside	4_yrs	381	1	0.883513445747315	1	ENSG00000185630
DEG.twoside	8_yrs	2624	7	0.993562686206897	1	ENSG00000143248:ENSG00000213070:ENSG00000206990:ENSG00000143179:ENSG00000215835:ENSG00000143157:ENSG00000145708
DEG.twoside	11_yrs	1715	5	0.967278989933795	1	ENSG00000143248:ENSG00000232995:ENSG00000213070:ENSG00000215835:ENSG00000143194
DEG.twoside	13_yrs	2415	7	0.985502894933335	1	ENSG00000143248:ENSG00000232995:ENSG00000213070:ENSG00000185630:ENSG00000230175:ENSG00000148444:ENSG00000168283
DEG.twoside	15_yrs	231	0	1	1	
DEG.twoside	18_yrs	3640	12	0.988816331774464	1	ENSG00000143248:ENSG00000232995:ENSG00000185630:ENSG00000143179:ENSG00000188859:ENSG00000215835:ENSG00000213763:ENSG00000085365:ENSG00000113273:ENSG00000168283:ENSG00000148450:ENSG00000185875
DEG.twoside	19_yrs	2508	7	0.989838635721562	1	ENSG00000213070:ENSG00000185630:ENSG00000206990:ENSG00000230175:ENSG00000143194:ENSG00000250615:ENSG00000148444
DEG.twoside	21_yrs	2861	8	0.993366633175823	1	ENSG00000254706:ENSG00000143248:ENSG00000232995:ENSG00000213070:ENSG00000215835:ENSG00000113231:ENSG00000085365:ENSG00000148444
DEG.twoside	23_yrs	2273	9	0.898781414484405	1	ENSG00000143248:ENSG00000232995:ENSG00000213070:ENSG00000185630:ENSG00000206990:ENSG00000230175:ENSG00000251400:ENSG00000132842:ENSG00000148444
DEG.twoside	30_yrs	3672	11	0.995516272831736	1	ENSG00000213070:ENSG00000185630:ENSG00000143198:ENSG00000206990:ENSG00000230175:ENSG00000143183:ENSG00000145708:ENSG00000085365:ENSG00000148444:ENSG00000168283:ENSG00000185875
DEG.twoside	36_yrs	2489	4	0.999716212165216	1	ENSG00000213070:ENSG00000185630:ENSG00000230175:ENSG00000148444
DEG.twoside	37_yrs	2009	6	0.973062119001463	1	ENSG00000143248:ENSG00000213070:ENSG00000185630:ENSG00000230175:ENSG00000215835:ENSG00000143194
DEG.twoside	40_yrs	1901	4	0.995084841398595	1	ENSG00000143248:ENSG00000213070:ENSG00000143179:ENSG00000113273
