Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	Liver	8059	16	0.999197919001024	1	ENSG00000143248:ENSG00000185630:ENSG00000143198:ENSG00000143179:ENSG00000143157:ENSG00000181104:ENSG00000164252:ENSG00000113231:ENSG00000164253:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000113273:ENSG00000148444:ENSG00000168283:ENSG00000165312
DEG.down	Lung	911	0	1	1	
DEG.down	Muscle	6908	9	0.999986608069194	1	ENSG00000143183:ENSG00000143157:ENSG00000181104:ENSG00000132846:ENSG00000164253:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000113273
DEG.down	Nerve	909	2	0.846998636769839	1	ENSG00000145708:ENSG00000113231
DEG.down	Ovary	1539	3	0.923216061085351	1	ENSG00000239887:ENSG00000143171:ENSG00000181104
DEG.down	Pancreas	9668	19	0.999831444630012	1	ENSG00000239887:ENSG00000143248:ENSG00000143198:ENSG00000143149:ENSG00000143183:ENSG00000143179:ENSG00000143157:ENSG00000225171:ENSG00000181104:ENSG00000164252:ENSG00000113231:ENSG00000164253:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000113273:ENSG00000168283:ENSG00000148450:ENSG00000165312
DEG.down	Pituitary	1937	2	0.994180496290588	1	ENSG00000145703:ENSG00000181104
DEG.down	Prostate	744	1	0.935785460690066	1	ENSG00000143171
DEG.down	Salivary_Gland	1870	4	0.914618201357599	1	ENSG00000143171:ENSG00000113273:ENSG00000148450:ENSG00000165312
DEG.down	Skin	2151	7	0.673958847160719	1	ENSG00000143248:ENSG00000143171:ENSG00000188859:ENSG00000145703:ENSG00000132846:ENSG00000113231:ENSG00000148450
DEG.down	Small_Intestine	1384	3	0.884475206150591	1	ENSG00000143171:ENSG00000145708:ENSG00000113231
DEG.down	Spleen	2075	7	0.636491265141574	1	ENSG00000239887:ENSG00000143248:ENSG00000185630:ENSG00000143198:ENSG00000143179:ENSG00000113231:ENSG00000085365
DEG.down	Stomach	2622	3	0.996980968418048	1	ENSG00000143171:ENSG00000181104:ENSG00000113231
DEG.down	Testis	2951	8	0.85266937217899	1	ENSG00000185630:ENSG00000143171:ENSG00000143157:ENSG00000225171:ENSG00000132846:ENSG00000113231:ENSG00000113273:ENSG00000148450
DEG.down	Thyroid	1042	2	0.896394020099707	1	ENSG00000239887:ENSG00000143171
DEG.down	Uterus	846	2	0.816886323274389	1	ENSG00000143171:ENSG00000145703
DEG.down	Vagina	649	0	1	1	
DEG.twoside	Adipose_Tissue	3520	5	0.997136163707138	1	ENSG00000239887:ENSG00000145708:ENSG00000132846:ENSG00000250802:ENSG00000113231
DEG.twoside	Adrenal_Gland	5041	8	0.998843952400552	1	ENSG00000143183:ENSG00000143179:ENSG00000143157:ENSG00000225171:ENSG00000145703:ENSG00000145708:ENSG00000113231:ENSG00000185875
DEG.twoside	Bladder	948	1	0.970107029052193	1	ENSG00000185630
DEG.twoside	Blood	8508	16	0.999750634945264	1	ENSG00000143228:ENSG00000143198:ENSG00000143149:ENSG00000143183:ENSG00000143157:ENSG00000145703:ENSG00000181104:ENSG00000164252:ENSG00000132846:ENSG00000245556:ENSG00000085365:ENSG00000148444:ENSG00000168283:ENSG00000148450:ENSG00000165312:ENSG00000185875
DEG.twoside	Blood_Vessel	4425	11	0.940867288040195	1	ENSG00000185630:ENSG00000143171:ENSG00000143198:ENSG00000188859:ENSG00000145703:ENSG00000181104:ENSG00000113231:ENSG00000164253:ENSG00000213763:ENSG00000113273:ENSG00000168283
DEG.twoside	Brain	8790	13	0.999995507267256	1	ENSG00000239887:ENSG00000185630:ENSG00000143171:ENSG00000143183:ENSG00000143179:ENSG00000188859:ENSG00000225171:ENSG00000143195:ENSG00000113231:ENSG00000132842:ENSG00000113273:ENSG00000165312:ENSG00000151023
DEG.twoside	Breast	2985	5	0.987073058598072	1	ENSG00000239887:ENSG00000143171:ENSG00000145708:ENSG00000132846:ENSG00000250802
DEG.twoside	Cervix_Uteri	3076	1	0.999992574557856	1	ENSG00000185630
DEG.twoside	Colon	2967	5	0.986431595347009	1	ENSG00000239887:ENSG00000185630:ENSG00000143195:ENSG00000143167:ENSG00000113231
DEG.twoside	Esophagus	2953	5	0.985912296680283	1	ENSG00000185630:ENSG00000181104:ENSG00000113231:ENSG00000113273:ENSG00000185875
DEG.twoside	Fallopian_Tube	491	1	0.835425991842135	1	ENSG00000185630
DEG.twoside	Heart	10049	18	0.999977785918604	1	ENSG00000239887:ENSG00000185630:ENSG00000143149:ENSG00000143183:ENSG00000143179:ENSG00000143157:ENSG00000198842:ENSG00000145703:ENSG00000164252:ENSG00000132846:ENSG00000164253:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000113273:ENSG00000168283:ENSG00000148450:ENSG00000185875
DEG.twoside	Kidney	6796	11	0.999796717436064	1	ENSG00000239887:ENSG00000185630:ENSG00000143179:ENSG00000143157:ENSG00000225171:ENSG00000145708:ENSG00000113231:ENSG00000164253:ENSG00000085365:ENSG00000148444:ENSG00000168283
DEG.twoside	Liver	9595	21	0.998941031148725	1	ENSG00000239887:ENSG00000143248:ENSG00000185630:ENSG00000143198:ENSG00000143179:ENSG00000143157:ENSG00000145703:ENSG00000181104:ENSG00000145708:ENSG00000164252:ENSG00000113231:ENSG00000164253:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000113273:ENSG00000214890:ENSG00000148444:ENSG00000168283:ENSG00000165312:ENSG00000185875
DEG.twoside	Lung	5173	9	0.997735471751143	1	ENSG00000143157:ENSG00000225171:ENSG00000181104:ENSG00000077327:ENSG00000165309:ENSG00000179133:ENSG00000224215:ENSG00000165312:ENSG00000151023
DEG.twoside	Muscle	8051	11	0.999995785887177	1	ENSG00000143171:ENSG00000143183:ENSG00000143157:ENSG00000198842:ENSG00000181104:ENSG00000132846:ENSG00000164253:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000113273
DEG.twoside	Nerve	6820	11	0.999810259932613	1	ENSG00000143171:ENSG00000143157:ENSG00000225171:ENSG00000143195:ENSG00000145703:ENSG00000145708:ENSG00000113231:ENSG00000245556:ENSG00000168283:ENSG00000224215:ENSG00000165312
DEG.twoside	Ovary	7253	6	0.999999963520889	1	ENSG00000239887:ENSG00000185630:ENSG00000143171:ENSG00000181104:ENSG00000244363:ENSG00000185875
DEG.twoside	Pancreas	10415	20	0.999946244007062	1	ENSG00000239887:ENSG00000143248:ENSG00000143198:ENSG00000143149:ENSG00000143183:ENSG00000143179:ENSG00000143157:ENSG00000225171:ENSG00000181104:ENSG00000164252:ENSG00000113231:ENSG00000164253:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000113273:ENSG00000168283:ENSG00000148450:ENSG00000168267:ENSG00000165312
DEG.twoside	Pituitary	7125	16	0.992904461061927	1	ENSG00000239887:ENSG00000143171:ENSG00000143183:ENSG00000188859:ENSG00000143195:ENSG00000145703:ENSG00000181104:ENSG00000250802:ENSG00000132842:ENSG00000245556:ENSG00000085365:ENSG00000077327:ENSG00000179133:ENSG00000224215:ENSG00000151023:ENSG00000185875
DEG.twoside	Prostate	4077	6	0.998121447457184	1	ENSG00000239887:ENSG00000232995:ENSG00000185630:ENSG00000143171:ENSG00000113231:ENSG00000245556
DEG.twoside	Salivary_Gland	3769	8	0.971293940408198	1	ENSG00000239887:ENSG00000143171:ENSG00000215834:ENSG00000145703:ENSG00000181104:ENSG00000113273:ENSG00000148450:ENSG00000165312
DEG.twoside	Skin	5291	12	0.979366466453093	1	ENSG00000143248:ENSG00000143228:ENSG00000143171:ENSG00000143179:ENSG00000188859:ENSG00000145703:ENSG00000181104:ENSG00000132846:ENSG00000113231:ENSG00000132842:ENSG00000148450:ENSG00000165312
DEG.twoside	Small_Intestine	4170	6	0.998565981184567	1	ENSG00000239887:ENSG00000143171:ENSG00000143167:ENSG00000145703:ENSG00000145708:ENSG00000113231
DEG.twoside	Spleen	6383	13	0.996099897474814	1	ENSG00000239887:ENSG00000143248:ENSG00000143228:ENSG00000185630:ENSG00000143198:ENSG00000143179:ENSG00000225171:ENSG00000145703:ENSG00000181104:ENSG00000145708:ENSG00000113231:ENSG00000245556:ENSG00000085365
DEG.twoside	Stomach	3731	5	0.998471014867545	1	ENSG00000239887:ENSG00000143171:ENSG00000145703:ENSG00000181104:ENSG00000113231
DEG.twoside	Testis	15330	35	0.999976109484859	1	ENSG00000171722:ENSG00000232995:ENSG00000143228:ENSG00000225122:ENSG00000185630:ENSG00000224702:ENSG00000238022:ENSG00000143171:ENSG00000237463:ENSG00000162763:ENSG00000236206:ENSG00000143183:ENSG00000188859:ENSG00000143157:ENSG00000225171:ENSG00000143195:ENSG00000143194:ENSG00000227907:ENSG00000143167:ENSG00000145703:ENSG00000164252:ENSG00000132846:ENSG00000113231:ENSG00000251400:ENSG00000164253:ENSG00000245556:ENSG00000113273:ENSG00000272366:ENSG00000077327:ENSG00000165309:ENSG00000148450:ENSG00000168267:ENSG00000179133:ENSG00000151023:ENSG00000185875
DEG.twoside	Thyroid	6764	13	0.998455356112446	1	ENSG00000239887:ENSG00000232995:ENSG00000143171:ENSG00000143183:ENSG00000145703:ENSG00000145708:ENSG00000132846:ENSG00000238961:ENSG00000250802:ENSG00000113231:ENSG00000132842:ENSG00000245556:ENSG00000185875
DEG.twoside	Uterus	6435	11	0.999441034209728	1	ENSG00000185630:ENSG00000143171:ENSG00000188859:ENSG00000225171:ENSG00000145703:ENSG00000132846:ENSG00000250802:ENSG00000113231:ENSG00000245556:ENSG00000113273:ENSG00000148450
DEG.twoside	Vagina	3513	1	0.999998751182153	1	ENSG00000185630
