tissue,exprID,00_38,01_37,02_06,03_28,04_05,04_19,05_10,06_02,06_53,07_28,07_37,07_73,08_55,08_88,09_56,92_10,92_32,94_35,95_03,95_21,95_26,95_27,96_03,96_13,96_32,96_44,97_02,97_14,97_17,97_37,97_45,98_27,98_34,99_14,001_06,001_10,002_08,002_10,003_08,003_10,004_06,004_08,004_10,005_09,006_08,006_09,006_10,007_06,007_08,007_09,007_10,008_10,009_07,009_09,010_09,010_10,011_09,011_10,012_08,012_09,012_10,013_09,013_10,014_08,014_09,014_10,015_07,015_09,015_10,016_07,016_08,016_09,016_10,017_07,017_08,017_09,018_05,018_06,018_07,018_08,018_09,018_10,019_08,019_10,020_07,020_08,020_10,021_05,021_08,021_09,021_10,022_06,022_08,022_09,023_08,023_09,023_10,024_08,024_09,024_10,025_05,025_08,025_09,025_10,026_07,026_08,026_09,027_09,028_08,028_09,028_10,029_09,030_06,030_09,031_08,031_09,032_08,032_09,032_10,033_08,033_09,034_06,034_08,034_09,035_06,035_09,036_08,036_09,037_08,038_08,038_09,039_06,040_08,043_06
SNIG,2959608,2.29328,1.74038,NA,2.04094,1.81037,NA,1.72965,2.5065,1.50505,1.63126,1.83331,1.71206,1.32583,1.46535,NA,NA,1.25834,1.5752,1.57115,1.6299,1.76943,NA,1.79168,2.43184,1.58007,1.64071,1.35399,NA,2.00064,1.40159,1.44459,1.09207,1.45774,1.20969,1.99572,1.39578,NA,1.37871,NA,2.3533,1.71398,2.03327,NA,2.21586,NA,1.23862,1.3567,NA,NA,NA,1.85716,1.47493,NA,1.44133,2.12329,1.85181,1.26966,1.44342,NA,2.28097,2.41651,2.23299,1.88479,NA,1.65829,1.64862,1.34769,1.42532,1.86916,1.50465,1.76614,1.53667,1.76873,1.82767,NA,2.12634,NA,2.49706,NA,1.10436,1.86301,NA,NA,1.39304,NA,1.90919,NA,NA,1.68843,1.3785,NA,1.96631,2.03992,1.74493,1.38956,1.67265,1.56781,1.74435,NA,2.50191,1.91739,1.64637,1.71854,2.47653,NA,NA,1.24647,1.90391,NA,1.6314,1.80506,1.98748,NA,2.4836,2.07527,1.2809,1.69208,1.29413,1.38476,1.55877,2.29246,NA,NA,1.48869,1.78935,1.57192,2.19838,1.47896,1.84192,1.53427,2.43386,1.62406,1.72001,NA
SNIG,2959610,1.56101,1.49852,NA,1.42751,1.92723,NA,1.25627,1.79788,1.95484,1.73236,1.14419,2.62644,1.0957,2.55595,NA,NA,1.33863,1.19141,1.51402,1.34159,2.33806,NA,2.35721,1.63848,1.41577,1.33961,1.69618,NA,1.20889,1.17829,0.962494,0.802839,1.58286,1.22989,2.09629,1.39836,NA,1.46697,NA,1.60922,0.81474,2.32817,NA,0.934555,NA,1.62917,1.42499,NA,NA,NA,1.31161,1.79605,NA,1.36055,1.35827,1.02666,1.47163,1.64606,NA,0.98564,1.20333,1.61489,1.29642,NA,1.69168,1.43489,1.60902,1.85813,1.59093,1.52931,0.990556,2.4243,0.979928,2.14108,NA,0.955958,NA,1.21298,NA,1.42095,1.86845,NA,NA,1.47605,NA,1.54822,NA,NA,1.55501,1.17,NA,2.03401,2.09187,1.56512,0.852021,2.01626,1.42222,1.68971,NA,0.975932,2.61273,1.64695,0.94049,1.04016,NA,NA,1.85719,0.965927,NA,0.797526,1.4706,1.03681,NA,1.90267,1.06602,1.11883,1.3894,1.12399,1.57698,1.24614,1.31394,NA,NA,1.53397,1.86417,1.96296,2.01139,0.962092,1.54348,0.91362,1.47138,2.02717,1.36139,NA
SNIG,2959611,1.68362,1.47852,NA,1.60816,1.41241,NA,1.15674,1.56935,1.74501,1.70849,1.67067,1.63112,1.41659,2.3494,NA,NA,2.15832,1.54839,1.62659,1.70101,1.2102,NA,1.61616,2.09725,1.53501,2.12736,2.40267,NA,1.34168,0.91971,1.77487,0.954671,1.32871,1.1844,1.13292,1.25432,NA,1.43803,NA,1.15709,1.76714,2.10205,NA,1.32386,NA,1.35694,0.949748,NA,NA,NA,1.32626,1.22954,NA,1.27406,1.52841,1.07505,1.40164,1.66263,NA,1.53861,1.69154,1.64521,1.62416,NA,1.49351,1.01997,0.966083,1.45454,1.8405,1.18545,1.71657,2.27586,1.56356,1.55245,NA,2.00584,NA,1.67206,NA,1.48536,0.964422,NA,NA,1.57169,NA,1.29932,NA,NA,1.39463,1.03707,NA,1.09939,2.16943,2.18938,1.06228,1.57177,1.48724,1.50554,NA,1.34166,1.41117,1.35186,1.3477,1.50092,NA,NA,1.18584,1.32748,NA,1.33526,1.21036,1.33421,NA,0.845706,1.66794,1.46816,1.21501,1.51662,1.36799,1.63089,1.22683,NA,NA,1.06779,1.63886,1.23655,1.30984,1.46082,1.83605,1.34203,1.50588,1.31301,1.31365,NA
SNIG,2959612,3.11324,2.17913,NA,2.70777,2.60083,NA,2.63257,1.44495,2.2213,2.02998,2.33051,1.92525,1.40626,2.46339,NA,NA,2.17921,1.91921,1.94373,2.17457,2.94128,NA,2.68753,2.1153,2.71677,2.50735,1.47387,NA,2.49583,1.57525,1.83689,2.23316,1.99185,2.13121,1.97844,1.77556,NA,1.81413,NA,2.5882,2.35289,2.2777,NA,2.09931,NA,2.33171,2.33414,NA,NA,NA,1.76203,2.19204,NA,1.8407,2.26114,2.6834,2.54222,1.98193,NA,2.12776,2.57323,2.0691,1.67356,NA,1.86083,1.64136,2.23959,2.0051,1.92517,2.27129,2.01174,2.23981,2.67495,3.38194,NA,2.80402,NA,1.72897,NA,2.71597,2.08996,NA,NA,2.13427,NA,2.34459,NA,NA,2.24629,2.20625,NA,2.77579,2.21784,1.55073,1.865,2.4796,1.94735,2.7953,NA,2.16499,1.69087,1.56391,2.22047,1.07802,NA,NA,1.79196,2.41075,NA,1.81881,1.38035,1.35027,NA,1.61252,2.04406,3.31251,2.44231,1.97555,3.4311,2.27758,1.4207,NA,NA,1.95158,2.09068,2.8958,3.00014,2.26463,2.24317,1.79293,2.39601,1.9549,2.12397,NA
SNIG,2959620,3.59423,4.04451,NA,4.78419,3.81055,NA,3.9067,3.22275,3.82667,4.25454,4.59641,4.30943,4.20919,4.2663,NA,NA,4.44881,4.31523,3.14309,4.20778,3.04156,NA,3.632,4.09546,3.8282,4.36067,4.37795,NA,4.11311,4.2341,4.32534,4.07172,5.2985,4.42583,3.30431,3.75219,NA,4.17527,NA,4.27862,3.96753,4.22573,NA,3.73248,NA,4.52408,3.87032,NA,NA,NA,4.62704,4.19706,NA,4.52081,4.96519,4.28867,4.52718,4.25545,NA,4.23596,3.67635,4.13535,4.11647,NA,3.66313,4.42593,4.70018,3.68209,4.21868,4.55883,3.24725,3.21205,4.06579,4.07639,NA,4.63799,NA,3.31467,NA,4.18554,3.77863,NA,NA,4.46582,NA,4.0766,NA,NA,3.8068,3.85107,NA,2.55277,3.43576,3.69646,3.60305,4.83193,4.34468,2.93127,NA,3.33714,3.85141,4.72241,4.28026,3.66387,NA,NA,4.3114,3.54066,NA,4.47163,4.51909,4.74532,NA,4.47636,3.59741,4.30144,3.33895,4.09717,4.71292,4.25075,3.04664,NA,NA,3.72947,4.19951,4.22063,3.58501,3.39092,4.41634,3.84565,4.19834,4.45113,3.70911,NA
SNIG,2959622,3.50182,2.0813,NA,1.45418,2.77479,NA,1.76751,2.34703,2.39585,2.31436,2.08021,1.73551,2.10043,2.42725,NA,NA,2.48727,1.46618,1.91349,2.31063,1.73839,NA,1.99118,2.18888,2.63319,1.72957,3.23021,NA,2.41811,2.09633,1.81492,1.94445,3.63851,1.30291,2.72794,1.31815,NA,1.87255,NA,2.64013,3.29889,2.22698,NA,1.70756,NA,2.15955,1.57787,NA,NA,NA,3.1042,2.39,NA,1.90616,2.00185,1.59665,2.20304,2.62437,NA,2.10524,2.37592,2.03807,1.66968,NA,1.88041,2.39239,2.55025,1.60532,1.97142,2.02295,3.1808,3.45006,2.51273,2.48454,NA,2.00951,NA,1.96061,NA,1.6467,2.14386,NA,NA,1.47667,NA,1.0614,NA,NA,1.2525,1.84162,NA,1.55209,2.40269,1.70535,1.94765,2.22645,2.1095,2.21032,NA,1.76784,1.41389,2.35058,1.67293,1.7887,NA,NA,1.46032,2.14566,NA,1.51989,1.90287,1.77785,NA,1.73271,1.83489,1.74595,1.90277,1.69035,1.32338,2.26226,3.04861,NA,NA,2.02689,1.81682,1.73526,2.18036,2.45175,1.79326,1.58288,1.84684,1.96141,2.44721,NA
SNIG,2959623,2.22223,2.18733,NA,2.83729,2.11169,NA,2.51064,2.64229,1.11612,2.62642,3.14735,2.49914,1.71057,1.80426,NA,NA,2.20566,1.97229,2.15255,2.05635,2.39172,NA,2.14531,2.61883,1.99963,1.90496,2.65086,NA,2.02629,1.99166,2.10197,1.64841,2.43107,1.64689,1.90819,3.34483,NA,2.15532,NA,3.12623,1.94926,1.52608,NA,1.94414,NA,1.80664,1.76664,NA,NA,NA,2.45217,2.24274,NA,2.6496,2.18579,2.11746,2.20254,2.6822,NA,2.23663,2.4599,2.62078,2.78466,NA,1.29071,2.42806,2.04065,1.22541,2.19908,2.05751,1.75356,2.04192,1.61429,2.73764,NA,2.12675,NA,1.39189,NA,2.03118,2.1222,NA,NA,1.52321,NA,1.90168,NA,NA,3.05042,2.46112,NA,3.04086,2.16597,2.35628,1.52199,2.17864,2.62117,1.67954,NA,1.76458,2.50744,2.2804,1.66486,3.26119,NA,NA,1.68302,1.81861,NA,2.66851,1.49986,2.11282,NA,1.84062,2.51523,2.7881,2.62888,3.23966,2.36465,2.54127,3.08801,NA,NA,1.60505,1.74228,1.47667,1.85272,3.05054,1.97275,2.38919,2.03876,1.46204,1.97946,NA
SNIG,2959624,1.57704,1.91269,NA,2.48116,2.14969,NA,2.26338,2.22711,1.35912,1.77271,1.21058,2.01493,1.30418,2.50743,NA,NA,1.94346,1.68092,1.08427,2.30936,1.39138,NA,1.97733,1.72106,1.41569,2.04271,1.42857,NA,1.76268,2.40753,2.15747,1.76606,1.85606,2.03165,1.83233,2.12992,NA,1.62951,NA,3.2481,2.23098,1.95286,NA,1.69657,NA,1.55676,1.94234,NA,NA,NA,1.3436,1.77192,NA,1.5788,2.53212,2.4701,1.87826,1.60588,NA,1.59682,1.69523,2.22454,1.91189,NA,2.09544,0.720842,2.39069,1.45266,2.04806,1.66898,2.56709,1.78173,1.77082,3.68503,NA,1.88363,NA,2.11581,NA,1.59224,1.48621,NA,NA,1.30225,NA,2.38178,NA,NA,1.94293,1.61613,NA,2.20086,2.59352,1.9639,1.78143,1.90757,3.42947,1.96925,NA,1.62181,1.78845,1.9636,1.36518,2.11037,NA,NA,2.31638,1.54259,NA,2.22792,2.76494,1.53112,NA,1.35602,1.95728,1.64848,1.483,1.6685,1.73916,1.6415,1.45119,NA,NA,1.62981,1.71374,2.07852,3.00314,1.41753,2.22603,2.87501,1.9718,1.69754,1.45788,NA
SNIG,2959627,2.02635,1.77361,NA,2.31419,1.63844,NA,2.11154,2.35443,1.63641,1.52027,2.17242,2.12825,2.3272,1.56087,NA,NA,1.48638,2.4871,1.94258,1.81669,2.19259,NA,1.69285,1.46698,1.75427,1.61136,1.11713,NA,1.2059,1.5742,1.81549,1.56864,1.46144,1.46126,2.75548,1.68683,NA,2.13338,NA,2.81655,1.88545,1.54791,NA,1.89733,NA,1.58281,1.66771,NA,NA,NA,1.44425,1.7699,NA,1.75514,1.88646,1.73448,1.84882,1.20161,NA,1.54362,1.88568,1.58644,1.63724,NA,2.16743,1.38685,1.65408,1.76061,1.48242,1.97365,1.9627,1.87045,1.69314,1.37343,NA,1.56926,NA,1.5103,NA,1.47825,1.29534,NA,NA,1.8261,NA,1.28768,NA,NA,2.01527,2.44949,NA,1.85539,1.55894,1.5134,1.81488,1.60753,1.84333,1.35206,NA,1.46467,1.51306,1.65087,2.47348,1.65741,NA,NA,1.92349,1.56252,NA,2.24079,2.24298,1.77463,NA,0.998364,2.45516,1.45923,1.6519,1.44387,1.45729,1.6781,2.41512,NA,NA,1.27703,1.73885,1.85669,1.61964,2.47365,2.26944,2.25998,1.90952,1.34424,1.53517,NA
SNIG,2959628,2.9332,3.01998,NA,3.21545,2.48863,NA,2.6064,3.22276,2.79608,2.99692,2.09003,3.34319,1.85331,3.14423,NA,NA,2.87795,3.31267,3.23661,2.91342,3.06999,NA,2.45323,3.87419,2.48966,3.56771,4.00144,NA,3.02482,1.96964,2.84426,2.80492,3.72665,2.83921,3.14895,3.54647,NA,3.00086,NA,4.30121,2.42462,3.5873,NA,3.99811,NA,3.01072,2.5873,NA,NA,NA,2.50106,3.4324,NA,2.24434,2.65678,3.23181,3.70833,2.64238,NA,3.33386,3.44235,3.28326,2.81098,NA,3.1332,3.06559,2.57893,3.06926,4.3797,2.83973,2.31485,3.18824,3.13626,2.67446,NA,2.31483,NA,2.65243,NA,3.23489,2.97574,NA,NA,2.23335,NA,3.19328,NA,NA,2.65034,2.26725,NA,4.49296,3.32463,2.02222,3.57574,3.87299,3.75376,2.94793,NA,2.23712,2.30231,3.48229,3.30887,3.76365,NA,NA,3.99788,3.34427,NA,3.29375,2.59738,3.03403,NA,2.5816,3.63224,2.50386,2.82237,3.10923,2.70826,3.4301,3.55682,NA,NA,2.83384,2.65606,2.62127,2.7976,2.49182,3.34211,4.0581,2.51471,1.64843,2.84564,NA
